# File created on Fri Aug 14 09:09:59 2026
#
# time Ham Px Py Pz Gx Gy Gz
1              0.19611147      0.0072621593    0.00321809      0.0032643355    0               0               0              
1              0.50662318      0.048712391     0.015713967     0.021600109     0.052478286     0.021927504     0.072776361    
1              0.92954176      0.11661403      0.025205455     0.045019905     0.087768174     0.032352725     0.077236038    
1              1.8160427       0.19350807      0.063701663     0.093898        0.096424931     0.058380755     0.090227189    
1              2.7644307       0.24410291      0.11666747      0.16975606      0.10049131      0.023035885     0.089438758    
1              2.4632964       0.27632462      0.20770947      0.22204284      0.042629146     0.02444256      0.040748003    
1              1.0222203       0.33192544      0.17396869      0.3386576       0.058116943     0.013534807     0.046956097    
1              0.3872901       0.34098929      0.11414658      0.53825177      0.13133867      0.042279029     0.10435315     
1              5.5654603       12.011974       0.27484926      13.84405        0.12197345      0.0089094436    0.091456624    
2              0.22284017      0.020397406     0.0074058059    0.0090000732    0.029846818     0.0099875488    0.058905904    
2              0.51044144      0.053765196     0.01757423      0.027987527     0.1079779       0.040638884     0.085975316    
2              0.94140427      0.13218376      0.037570426     0.072040778     0.16707161      0.054908634     0.14343339     
2              1.8556923       0.24369204      0.11921044      0.16382455      0.17673138      0.0911944       0.18473554     
2              2.8413605       0.3539602       0.21878069      0.25704361      0.15711999      0.041086747     0.19042255     
2              2.4825815       0.44194856      0.37338929      0.388845        0.048517967     0.053582633     0.066789448    
2              1.1693545       0.39586273      0.38045764      0.65392221      0.043783783     0.013515419     0.029441996    
2              0.34017075      0.3353509       0.23089167      0.66272828      0.11114981      0.045397149     0.062739808    
2              0.48854169      0.18776724      0.037045896     1.0674211       0.18178933      0.015308443     0.14250241     
